"handleId","fieldType","name","description","productImageUrl","collections","sku","ribbon","price","surcharge","visible","discountMode","discountValue","inventory","weight","productOptionName1","productOptionType1","productOptionDescription1","productOptionName2","productOptionType2","productOptionDescription2","productOptionName3","productOptionType3","productOptionDescription3","productOptionName4","productOptionType4","productOptionDescription4","productOptionName5","productOptionType5","productOptionDescription5","productOptionName6","productOptionType6","productOptionDescription6","additionalInfoTitle1","additionalInfoDescription1","additionalInfoTitle2","additionalInfoDescription2","additionalInfoTitle3","additionalInfoDescription3","additionalInfoTitle4","additionalInfoDescription4","additionalInfoTitle5","additionalInfoDescription5","additionalInfoTitle6","additionalInfoDescription6","customTextField1","customTextCharLimit1","customTextMandatory1","customTextField2","customTextCharLimit2","customTextMandatory2"
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d2","Product","Sunflowers 🌻 Harlequin Clutch","","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","Harlequin Clutch","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d2","Variant","","","","","","","","10.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d2","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d2","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d3","Product","Sunflowers 🌻 Key Lanyard","","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","Key Lanyard","","","8.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d3","Variant","","","","","","","","4.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d3","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d4","Product","Sunflowers 🌻 Long Hair Scrub Cap","","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","Long Hair Scrub Cap","","","12.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d5","Product","Sunflowers 🌻 Pleated Masks","","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","Pleated Masks","","","12.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small;Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d5","Variant","","","","","","","","0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d5","Variant","","","","","","","","0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d5","Variant","","","","","","","","0","true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d5","Variant","","","","","","","",0,"true","","","InStock","","","","Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d6","Product","Sunflowers 🌻 Scrub Caps","","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","Scrub Caps","","","12.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d7","Product","Sunflowers 🌻 Tear Drop Coin Purse","","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","Tear Drop Coin Purse","","","10.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d7","Variant","","","","","","","","4.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d7","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d8","Product","Sunflowers 🌻 Zippy Clutch","","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","Zippy Clutch","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d8","Variant","","","","","","","","10.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d8","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_f005acaf-4307-7bf2-d0f9-b0b08521871d8","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a61","Product","Seven Dwarfs Book/iPad Sleeve","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Book/iPad Sleeve","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Extra Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a61","Variant","","","","","","","","10.0","true","","","InStock","","","","Extra Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a61","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a61","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a610","Product","Seven Dwarfs Bouffant Scrub Cap","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Bouffant Scrub Cap","","","12.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a611","Product","Seven Dwarfs Domino Fitted Mask","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Domino Fitted Mask","","","12.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Extra Large;Large;Medium;Small;Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a611","Variant","","","","","","","","0","true","","","InStock","","","","Extra Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a611","Variant","","","","","","","","0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a611","Variant","","","","","","","","0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a611","Variant","","","","","","","","0","true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a611","Variant","","","","","","","",0,"true","","","InStock","","","","Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a612","Product","Seven Dwarfs Harlequin Clutch","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Harlequin Clutch","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a612","Variant","","","","","","","","10.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a612","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a612","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a613","Product","Seven Dwarfs Key Lanyard","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Key Lanyard","","","8.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a613","Variant","","","","","","","","4.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a613","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a614","Product","Seven Dwarfs Long Hair Scrub Cap","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Long Hair Scrub Cap","","","12.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a615","Product","Seven Dwarfs Pleated Masks","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Pleated Masks","","","12.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small;Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a615","Variant","","","","","","","","0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a615","Variant","","","","","","","","0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a615","Variant","","","","","","","","0","true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a615","Variant","","","","","","","",0,"true","","","InStock","","","","Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a616","Product","Seven Dwarfs Scrub Caps","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Scrub Caps","","","12.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a617","Product","Seven Dwarfs Tear Drop Coin Purse","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Tear Drop Coin Purse","","","10.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a617","Variant","","","","","","","","4.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a617","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a618","Product","Seven Dwarfs Zippy Clutch","","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","Zippy Clutch","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a618","Variant","","","","","","","","10.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a618","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_b8f98125-3d42-867e-6053-4dc338e93a618","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e","Product","Minnie Mouse Easter Book/iPad Sleeve","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Book/iPad Sleeve","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Extra Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e","Variant","","","","","","","","10.0","true","","","InStock","","","","Extra Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e0","Product","Minnie Mouse Easter Bouffant Scrub Cap","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Bouffant Scrub Cap","","","12.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e1","Product","Minnie Mouse Easter Domino Fitted Mask","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Domino Fitted Mask","","","12.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Extra Large;Large;Medium;Small;Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e1","Variant","","","","","","","","0","true","","","InStock","","","","Extra Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e1","Variant","","","","","","","","0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e1","Variant","","","","","","","","0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e1","Variant","","","","","","","","0","true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e1","Variant","","","","","","","",0,"true","","","InStock","","","","Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e2","Product","Minnie Mouse Easter Harlequin Clutch","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Harlequin Clutch","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e2","Variant","","","","","","","","10.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e2","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e2","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e3","Product","Minnie Mouse Easter Key Lanyard","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Key Lanyard","","","8.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e3","Variant","","","","","","","","4.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e3","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e4","Product","Minnie Mouse Easter Long Hair Scrub Cap","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Long Hair Scrub Cap","","","12.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e5","Product","Minnie Mouse Easter Pleated Masks","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Pleated Masks","","","12.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small;Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e5","Variant","","","","","","","","0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e5","Variant","","","","","","","","0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e5","Variant","","","","","","","","0","true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e5","Variant","","","","","","","",0,"true","","","InStock","","","","Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e6","Product","Minnie Mouse Easter Scrub Caps","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Scrub Caps","","","12.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e7","Product","Minnie Mouse Easter Tear Drop Coin Purse","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Tear Drop Coin Purse","","","10.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e7","Variant","","","","","","","","4.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e7","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e8","Product","Minnie Mouse Easter Zippy Clutch","","a680d7_ad39b82b4f1c43a2855e9442ebd92a47~mv2.jpg","Zippy Clutch","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e8","Variant","","","","","","","","10.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e8","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_2665719d-4e19-7420-6eac-ebb92df5b17e8","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d","Product","Pinnochio Book/iPad Sleeve","","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","Book/iPad Sleeve","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Extra Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d","Variant","","","","","","","","10.0","true","","","InStock","","","","Extra Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d","Variant","","","","","","","",0,"true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d0","Product","Pinnochio Bouffant Scrub Cap","","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","Bouffant Scrub Cap","","","10.0","","true","PERCENT","0.0","InStock","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d1","Product","Pinnochio Domino Fitted Mask","","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","Domino Fitted Mask","","","12.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Extra Large;Large;Medium;Small;Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d1","Variant","","","","","","","","0","true","","","InStock","","","","Extra Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d1","Variant","","","","","","","","0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d1","Variant","","","","","","","","0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d1","Variant","","","","","","","","0","true","","","InStock","","","","Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d1","Variant","","","","","","","",0,"true","","","InStock","","","","Extra Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d2","Product","Pinnochio Harlequin Clutch","","a680d7_fab7c085ad794e808e1920174e364d58~mv2.jpg","Harlequin Clutch","","","30.0","","true","PERCENT","0.0","InStock","0.0","Sizes","DROP_DOWN","Large;Medium;Small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d2","Variant","","","","","","","","10.0","true","","","InStock","","","","Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"product_1013e6fa-4d0a-9a38-d432-d270f703a02d2","Variant","","","","","","","","5.0","true","","","InStock","","","","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
