handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_e0745957-221d-7ed8-776a-29197b32f41d,Product,Galaxies afar,"<p>Galaxies, constellations, stars and moons.</p>",a680d7_9dff2df460244a08915c4351a682cd91~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e5a08cb4-7549-536c-8ab9-bd91e601240a,Product,Kitty......hello,<p>Kitty...hello are you out there?!?</p>,a680d7_6c9441682eb547d498440b503da548ce~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_829edafc-661e-dc48-71e8-b1d0783a1222,Product,Hearts,<p>Perfect way to say I Love You. Various shades of pink hearts.</p>,a680d7_ac82ba730bfd4e10beaf6c74e0b473ad~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_38bcdd74-08d4-b5b9-c267-a564a070ff5c,Product,Flower Petals,<p>Flower petal blooming for Spring!</p>,a680d7_a9ca6cd759534aee9e81ae1665abe7fe~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7215845e-c731-a951-3285-9a640f45d3e9,Product,Social Distancing,<p>Social distancing champion. The award goes to.....</p>,a680d7_cc7f1ba7499c4a9e8d01d4866a0c8dfc~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e8958ab2-4c79-c980-2ed9-1437b49060bb,Product,It's 4 20 Somewhere,"<p>It's 4 20 somewhere, right?</p>",a680d7_958f7f89a8f94d72b283695aa29e5b43~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_046ec88c-4f97-48a8-dba6-bd0edaf034ed,Product,Peaceful Paisley,<p>Ornate paisley print&nbsp;</p>,a680d7_678f7e882a6d415299919ce2781e3b7d~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0a210f42-dbd0-5aa8-fd8e-09c363d2a540,Product,Paisley Paradise,<p>Paisley paradise of glowing colors.</p>,a680d7_0087035bbb124e8fba771c86971f3fea~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0557148f-7cc1-d07b-d495-267c2bb99cbd,Product,Rainbows Are Bright,<p>Rainbows are bright ans so is this fabric!</p>,a680d7_beb9f9795aa84f05ac48874a7ef84c14~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_35ff1357-b3dd-fea1-7219-6ea98a55805e,Product,Pencil Drawn Princesses,<p>Life-like pencil drawn princesses.</p>,a680d7_fc0cb158f13844baace93a9a3404858b~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f3635b64-90fd-5ece-45d9-d8dcd9009df8,Product,Gamers Beware,<p>Most polpular game wear.</p>,a680d7_b80527384df049d3a6fc776ad3c50143~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_24ad55f6-8874-2b1e-fe26-a758871da885,Product,Hell on Wheels,<p>The legendary motocycle apparel.</p>,a680d7_bfb90f9ccbe040328649f0580ee31913~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0f9106e1-8297-62cb-f020-6e45eaca202d,Product,Gaming Lovers,<p>Gaming lovers welcome!</p>,a680d7_b52aba993c58467b82d0e2772a8946d7~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_03b3c523-7d93-4602-4bbb-e1ea1a7d0f75,Product,Gaming On,<p>Gaming on with the crew.</p>,a680d7_d9c9b51e080d4519b208a1c5a68ba1b9~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e497e118-7c81-10d4-6eb7-71f743aa128b,Product,Comic Book Extroadinar,<p>The comic book extroadinar with multiple legendary stories.</p>,a680d7_ca42e34a145b49cc945cca1998eca030~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1dd36ebb-4322-9c25-e12b-79aca1f3c3fa,Product,Goobling Ghost,<p>The yellow man eating up ghosts and goblins.</p>,a680d7_0d9d79b6994a45d0be14d0d8fb587943~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ed48a06f-9533-5969-f2a4-af05d181307d,Product,Chocolate Friends,<p>These yummy cholocate candies wear their masks too!</p>,a680d7_f8de50d07693438d9829637563bc6ad8~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_88a312da-3da3-f450-c9b3-39677befcbf5,Product,"Flower, Flowers, Everywhere",<p>Blossoming array&nbsp;of shades.</p>,a680d7_1dd8c8096a67455395029a234baf84be~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
